,Date,Study,Study Link,Journal,Study Type,Material,Method,Viral Titer,Persistence,Conclusion,Measure of Evidence,Added on
11,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,Ceramic tiles,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,5 days,"An inoculum of 10^3 plaque forming units (PFU) persisted on polyfluorotetraethylene (Teflon; PTFE), polyvinyl chloride (PVC), ceramic tiles, glass, and stainless steel for at least 5 days (and 3 days for silicon rubber) at 21°C and a relative humidity of 30% to 40% (Fig. 1).",-,05-16-2020
12,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,Glass,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,5 days,"An inoculum of 10^3 plaque forming units (PFU) persisted on polyfluorotetraethylene (Teflon; PTFE), polyvinyl chloride (PVC), ceramic tiles, glass, and stainless steel for at least 5 days (and 3 days for silicon rubber) at 21°C and a relative humidity of 30% to 40% (Fig. 1).",-,05-16-2020
13,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,Stainless Steel,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,5 days,"An inoculum of 10^3 plaque forming units (PFU) persisted on polyfluorotetraethylene (Teflon; PTFE), polyvinyl chloride (PVC), ceramic tiles, glass, and stainless steel for at least 5 days (and 3 days for silicon rubber) at 21°C and a relative humidity of 30% to 40% (Fig. 1).",-,05-16-2020
14,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,Silicon rubber,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,3 days,"An inoculum of 10^3 plaque forming units (PFU) persisted on polyfluorotetraethylene (Teflon; PTFE), polyvinyl chloride (PVC), ceramic tiles, glass, and stainless steel for at least 5 days (and 3 days for silicon rubber) at 21°C and a relative humidity of 30% to 40% (Fig. 1).",-,05-16-2020
15,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,Copper Alloys,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,60 min,Approximately 10^3 PFU in a simulated wet-droplet contamination (20 l per cm2) was inactivated in less than 60 min. Analysis of the early contact time points revealed a lag in inactivation of approximately 10 min followed by very rapid loss of infectivity (Fig. 2B).,-,05-16-2020
16,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,Zinc,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,-,"As observed previously for norovirus, zinc demonstrated a slight antiviral effect compared to that seen with stainless steel (neither metal contains copper).",-,05-16-2020
17,2002-05-25,Survival of human coronaviruses 229E and OC43 in suspension and after drying onsurfaces: a possible source ofhospital-acquired infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134510/,The Journal of Hospital Infection,Experimental Study,Aluminum,Infectious virus titres were calculated by the Karber method,5.5 x 10^5,3-12 hrs,This study suggests that surfaces and suspensions can be considered as possible sources of contamination that may lead to hospital-acquired infections with HCoV and should be appropriately disinfected.,-,05-16-2020
18,2002-05-25,Survival of human coronaviruses 229E and OC43 in suspension and after drying onsurfaces: a possible source ofhospital-acquired infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134510/,The Journal of Hospital Infection,Experimental Study,Sterile sponges,Infectious virus titres were calculated by the Karber method,5.5 x 10^5,1-12 hrs,This study suggests that surfaces and suspensions can be considered as possible sources of contamination that may lead to hospital-acquired infections with HCoV and should be appropriately disinfected.,-,05-16-2020
19,2002-05-25,Survival of human coronaviruses 229E and OC43 in suspension and after drying onsurfaces: a possible source ofhospital-acquired infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134510/,The Journal of Hospital Infection,Experimental Study,Latex surgical gloves,Infectious virus titres were calculated by the Karber method,5.5 x 10^5,1-6 hrs,This study suggests that surfaces and suspensions can be considered as possible sources of contamination that may lead to hospital-acquired infections with HCoV and should be appropriately disinfected.,-,05-16-2020
20,2004-04-29,Stability and inactivation of SARS coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7086689/,Medical Microbiology and Immunology,Experimental Study,Plastic,Virus Titrations,10^7,3 days,"Despite its considerably higher environmental stability compared to the previously characterised human coronavirus HCoV-229E, SARS-CoV can easily be inactivated thermally and chemically.",-,05-16-2020
