,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
10,2020-05-12,Temperature and relative humidity are not major contributing factor on the occurrence 2 of COVID-19 pandemic: An observational study in 57 countries (2020-05-08),https://doi.org/10.1101/2020.05.03.20089342,medrxiv,Ecological Regression,Daily Average Temperature,Y,"The analysis showed that 98.8% proportionate cases occurred between -0.50 C to 30 Cand, more restrictively, 93.5% cases occurred between 1C to 16C (Fig. 1).",countries: 57,05/31/2020
11,2020-05-12,Temperature and relative humidity are not major contributing factor on the occurrence 2 of COVID-19 pandemic: An observational study in 57 countries (2020-05-08),https://doi.org/10.1101/2020.05.03.20089342,medrxiv,Ecological Regression,Relative Humidity,N,The average relative humidity was also not correlated (R² = 0.0272) with the occurrence of COVID-19 in linear regression (Fig. 2).,countries: 57,05/31/2020
12,2020-05-12,Statistical analysis of the impact of environmental temperature on the exponential growth rate of cases infected by COVID-,https://doi.org/10.1101/2020.04.21.20072405,medrxiv,Ecological Regression,Average Temperature,Y,"The critical temperature, which eliminates the exponential growth, and thus the COVID-19 spread in US regions, is estimated to be TC = 86.1 ± 4.3 F0.","countries: US, Italy",05/17/2020
13,2020-05-08,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medrxiv,Ecological Regression,Temperature,Y,Temperature is the most influential parameter that reduces the growth at the rate of 13-16 cases/day with a 1oC rise in temperature,countries: 20,05/17/2020
14,2020-05-06,Effect of Temperature on the Transmission of COVID-19: A Machine Learning Case Study in Spain,https://doi.org/10.1101/2020.05.01.20087759,medrxiv,Ecological Regression,Average Temperature,Y,"a 1 °C increase in average temperature leads to a decrease of 194 daily positive cases (95% CI, 140 to 248).",countries: Spain; communities: 3,05/17/2020
15,2020-05-06,Effect of Temperature on the Transmission of COVID-19: A Machine Learning Case Study in Spain,https://doi.org/10.1101/2020.05.01.20087759,medrxiv,Ecological Regression,Humidity,N,-,countries: Spain; communities: 3,05/17/2020
16,2020-05-03,Temperature Decreases Spread Parameters of the New Covid-19 Case Dynamics,https://doi.org/10.3390/biology9050094,PubMed,Ecological Regression,Mean Temperature,Y,"Results indicate that high temperatures diminish initial contagion rates, but seasonal temperature effects at later stages of the epidemy remain questionable",countries: 21; French administrative regions,05/24/2020
17,2020-04-28,Effects of temperature and humidity on the daily new cases and new deaths of COVID-19 in 166 countries,https://doi.org/10.1016/j.scitotenv.2020.139051,medrxiv,Ecological Regression,Relative Humidity,Y,"A 1% increase in relative humidity was associated with a 0.85% (95% CI: 0.51%, 1.19%) reduction in daily new cases and a 0.51% (95% CI: 0.34%, 0.67%) reduction in daily new deaths",countries: 166,05/17/2020
18,2020-04-28,Effects of temperature and humidity on the daily new cases and new deaths of COVID-19 in 166 countries,https://doi.org/10.1016/j.scitotenv.2020.139051,medrxiv,Ecological Regression,Temperature,Y,"A 1 °C increase in temperature was associated with a 3.08% (95% CI: 1.53%, 4.63%) reduction in daily new cases and a 1.19% (95% CI: 0.44%, 1.95%) reduction in daily new deaths",countries: 166,05/17/2020
19,2020-04-25,Temperature significantly changes COVID-19 transmission in (sub)tropical cities of Brazil,https://doi.org/10.1016/j.scitotenv.2020.138862,Science of The Total Environment,Ecological Regression,Temperature,Y,"When the average temperature was below 25.8°C, each 1°C rise was associated with a −4.8951% (t = −2.29, p = 0.0226) decrease in the number of daily cumulative confirmed cases of COVID-19 but not above 25.8°C",countries: Brazil; cities: 27,05/03/2020
20,2020-04-22,The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change,https://doi.org/10.1016/j.gsd.2020.100400,medrxiv,Systemic Review,Temperature,Y,COVID will not endure high temperature and humidity of the (Indian/Tropical) summer.,-,05/03/2020
21,2020-04-22,The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change,https://doi.org/10.1016/j.gsd.2020.100400,medrxiv,Systemic Review,Humidity,Y,COVID will not endure high temperature and humidity of the (Indian/Tropical) summer.,-,05/03/2020
22,2020-04-17,Effects of temperature and humidity on the spread of COVID-19: A systematic review,https://doi.org/10.1101/2020.04.14.20064923,medrxiv,Systemic Review,Temperature,Y,warm and wet climates seem to reduce the spread of COVID-19,-,05/03/2020
23,2020-04-17,Effects of temperature and humidity on the spread of COVID-19: A systematic review,https://doi.org/10.1101/2020.04.14.20064923,medrxiv,Systemic Review,Humidity,Y,warm and wet climates seem to reduce the spread of COVID-19,-,05/03/2020
24,2020-04-14,Relationship between Average Daily Temperature and Average Cumulative Daily Rate of Confirmed Cases of COVID-19,https://doi.org/10.1101/2020.04.10.20059337,medrxiv,Ecological Regression,Average daily temperature,Y,"We found that when there is a significant difference in the daily mean temperature between two regions of a country, a significant difference exists also in the average cumulative daily rate of confirmed cases.",countries: 5,05/03/2020
25,2020-04-12,"Evidence that higher temperatures are associated with lower incidence of COVID-19 in pandemic state, cumulative cases reported up to March 27, 2020",https://doi.org/10.1101/2020.04.02.20051524,medrxiv,Ecological Regression,Temperature,Y,"Modeling of case data reported March 27, 2020, as predicted by temperature, indicated a strong regional-level correlation between COVID-19 case rates and mean maximum surface air temperatures below 22.5oC.",countries: globally,05/03/2020
26,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature minimum (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020
27,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature maximum (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020
28,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,temperature average (°C),Y,only temperature average (°C) was significantly correlated with covid-19 pandemic (r = 0.392; p < .01).,cases: 678,04/15/2020
29,2020-04-04,"Correlation between weather and Covid-19 pandemic in Jakarta, Indonesia",https://doi.org/10.1016/j.scitotenv.2020.138436,Science of The Total Environment,Retrospective Study,humidity,N,-,cases: 678,04/15/2020
30,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average temperature,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020
31,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Minimum temperature,Y,"the incidence of COVID-19 was significantly positively correlated with average pressure and negatively correlated with average temperature, minimum temperature and average water vapor pressure",cases: 67773,04/12/2020
32,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Maximum Temperature,N,-,cases: 67773,04/12/2020
33,2020-04-03,"Meteorological factors correlate with transmission of 2019-nCoV: Proof of incidence of novel coronavirus pneumonia in Hubei Province, China",https://doi.org/10.1101/2020.04.01.20050526,medrxiv,Ecological Regression,Average relative humidity,N,-,cases: 67773,04/12/2020
34,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Temperature,Y,Cold and dry environments are more favourable condition for virus survival,countries: 116,04/12/2020
35,2020-03-31,"Temperature, humidity, and wind speed are associated with lower Covid-19 incidence",https://doi.org/10.1101/2020.03.27.20045658,medrxiv,Ecological Regression,Humidity,Y,Cold and dry environments are more favourable condition for virus survival,countries: 117,04/12/2020
36,2020-03-31,No Evidence for Temperature-Dependence of the COVID-19 Epidemic,https://doi.org/10.1101/2020.03.29.20046706,medrxiv,Ecological Regression,Temperature,N,no evidence that spread rates decline with temperatures above 20 oC,countries: globally,04/08/2020
37,2020-03-30,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,https://doi.org/10.1101/2020.03.30.20044099,medrxiv,Time-series analysis,Temperature,Y,"Every 1C increase in the AT led to a decrease in the daily confirmed cases by 36% to 57% when ARH was in the range from 67% to 85.5%. Every 1% increase in ARH led to a decrease in the daily confirmed cases by 11% to 22% when AT was in the range from 5.04°C to 8.2°C. However, results were not consistent throughout provinces in mainland china",countries: China; provinces: 31,04/08/2020
38,2020-03-30,COVID-19 transmission in Mainland China is associated with temperature and humidity: a time-series analysis,https://doi.org/10.1101/2020.03.30.20044099,medrxiv,Time-series analysis,Humidity,Y,"Every 1C increase in the AT led to a decrease in the daily confirmed cases by 36% to 57% when ARH was in the range from 67% to 85.5%. Every 1% increase in ARH led to a decrease in the daily confirmed cases by 11% to 22% when AT was in the range from 5.04°C to 8.2°C. However, results were not consistent throughout provinces in mainland china",countries: China; provinces: 31,04/08/2020
39,2020-03-30,Effects of temperature on COVID-19 transmission,https://doi.org/10.1101/2020.03.29.20044461,medrxiv,Retrospective Study,Temperature,N,"Changes in temperature shows no significant correlation with cases transmitted, deaths or recovered:",cases: 240000,04/15/2020
40,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Temperature,Y,Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts,cases: 2299,04/15/2020
41,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Humidity,Y,Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 death counts,cases: 2299,04/15/2020
42,2020-03-26,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",https://doi.org/10.1016/j.scitotenv.2020.138226,Science of the Total Environment,Retrospective Study,Diurnal Temperature,N,-,cases: 2299,04/15/2020
43,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Temperature,Y,"1C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]",cases: 166686,04/15/2020
44,2020-03-26,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medrxiv,Simulation,Specific Humidity,N,-,cases: 166686,04/15/2020
45,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medrxiv,Ecological Study,Absolute Humidity,N,-,"countries: China, provinces: 31",04/08/2020
46,2020-03-24,The impact of temperature and absolute humidity on the coronavirus disease 2019 (COVID-19) outbreak - evidence from China,https://doi.org/10.1101/2020.03.22.20038919,medrxiv,Ecological Study,Temperature,Y,Transmission rate decreased with the increase of temperature,"countries: China, provinces: 31",04/08/2020
47,2020-03-23,Association between ambient temperature and COVID-19 infection in 122 cities from China,https://doi.org/10.1016/j.scitotenv.2020.138201,Science of The Total Environment,Ecological Regression,Temperature,Y,Our results indicate that mean temperature has a positive linear relationship with the number of COVID-19 cases with a threshold of 3 °C.,countries: China; cities: 122,04/15/2020
48,2020-03-20,Roles of meteorological conditions in COVID-19 transmission on a worldwide scale,https://doi.org/10.1101/2020.03.16.20037168,medrxiv,Ecological Regression,Temperature,Y,Multiple environmental factors are involved,cities: 523,04/08/2020
49,2020-03-20,Roles of meteorological conditions in COVID-19 transmission on a worldwide scale,https://doi.org/10.1101/2020.03.16.20037168,medrxiv,Ecological Regression,Relative Humidity,Y,Multiple environmental factors are involved,cities: 523,04/08/2020
50,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Retrospective Study,Diurnal Temperature Range,Y,"Each 1 unit increase in diurnal temperature range was only associated with a 2.92% (95% CI: 0.61%, 5.28%) increase in COVID-19 mortality at lag 3",deaths: 2299,04/15/2020
51,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Retrospective Study,Temperature,Y,"Both per 1 unit increase of temperature and absolute humidity were related to the decreased COVID-19 mortality at lag 3 and lag 5, respectively.",deaths: 2299,04/15/2020
52,2020-03-18,Effects of temperature variation and humidity on the mortality of COVID-19 in Wuhan,https://doi.org/10.1101/2020.03.15.20036426,medrxiv,Retrospective Study,Relative Humidity,N,-,deaths: 2299,04/15/2020
53,2020-03-10,High Temperature and High Humidity Reduce the Transmission of COVID-19,https://dx.doi.org/10.2139/ssrn.3551767,SSRN,Ecological Regression,Temperature,Y,"One-degree Celsius increase in temperature and one percent increase in relative humidity reduce the R value by 0.026 (95% CI [-0.0395, -0.0125]) and 0.0076 (95% CI [-0.0108, -0.0045]), respectively.","countries: China, USA",05/31/2020
54,2020-03-10,High Temperature and High Humidity Reduce the Transmission of COVID-19,https://dx.doi.org/10.2139/ssrn.3551767,SSRN,Ecological Regression,Humidity,Y,"One-degree Celsius increase in temperature and one percent increase in relative humidity reduce the R value by 0.026 (95% CI [-0.0395, -0.0125]) and 0.0076 (95% CI [-0.0108, -0.0045]), respectively.","countries: China, USA",05/31/2020
55,2020-03-08,Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases,https://doi.org/10.1101/2020.03.05.20031872,medrxiv,Ecological Regression,Temperature,Y,Results indicate that the doubling time correlates positively with temperature and inversely with humidity. A 20C increase is expected to delay the doubling time in 1.8 days.,countries: China; provinces: 31,04/08/2020
56,2020-03-08,Role of temperature and humidity in the modulation of the doubling time of COVID-19 cases,https://doi.org/10.1101/2020.03.05.20031872,medrxiv,Ecological Regression,Humidity,Y,Results indicate that the doubling time correlates positively with temperature and inversely with humidity. A 20C increase is expected to delay the doubling time in 1.8 days.,countries: China; provinces: 31,04/08/2020
57,2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,https://doi.org/10.1101/2020.03.04.20031112,medrxiv,Simulation,Temperature,Y,"SARS-CoV- 2 was capable of producing a substantial outbreak regardless of establishment time. Winter/spring establishments favored longer-lasting outbreaks with shorter peaks (Fig 3A), while autumn/winter establishments led to more acute outbreaks",countries: USA,04/08/2020
58,2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,https://doi.org/10.1101/2020.03.04.20031112,medrxiv,Simulation,Absolute Humidity,N,-,countries: USA,04/08/2020
59,2020-03-03,Potential Factors Influencing Repeated SARS Outbreaks in China.,https://doi.org/10.3390/ijerph17051633,IJERPH,Literature Review,Temperature,Y,"A cold, dry environment is more conducive for SARS-COV-2 viral infection in human beings",-,04/08/2020
60,2020-03-03,Potential Factors Influencing Repeated SARS Outbreaks in China.,https://doi.org/10.3390/ijerph17051633,IJERPH,Literature Review,Humidity,Y,"A cold, dry environment is more conducive for SARS-COV-2 viral infection in human beings",-,04/08/2020
61,2020-02-29,"The Effects of ""Fangcang Huoshenshan and Leishenshan"" Makeshift Hospitals and Temperature on the Mortality of COVID-19",https://doi.org/10.1101/2020.02.26.20028472,medrxiv,Retrospective Study,Air Temperature,Y,"if the AT rises 1 Celsius, the mortality of confirmed cases would decrease 0.44% and the mortality of severe cases would decrease 0.42% on average.",countries: China; timeline: 32 days,04/08/2020
62,2020-02-21,Molecular mechanism of evolution and human infection with the novel coronavirus (2019-nCoV),https://doi.org/10.1101/2020.02.17.952903,biorxiv,Basic Science,Temperature,Y,2019-nCoV will be less infectious with rising temperature and more infectious in the Winter,-,04/08/2020
63,2020-02-18,Analysis of meteorological conditions and prediction of epidemic trend of 2019-nCoV infection in 2020,https://doi.org/10.1101/2020.02.13.20022715,medrxiv,Ecological Regression,Temperature,Y,"The humidity range is 50%-80%, of which about 75% humidity is conducive to the survival of the coronavirus; the suitable precipitation range is below 30 mm/ month. Cities with a mean temperature below 24 °C are all high-risk cities for 2019-nCoV","cities: Wuhan, Guangzhou",04/15/2020
64,2020-02-18,Analysis of meteorological conditions and prediction of epidemic trend of 2019-nCoV infection in 2020,https://doi.org/10.1101/2020.02.13.20022715,medrxiv,Ecological Regression,Humidity,Y,"The humidity range is 50%-80%, of which about 75% humidity is conducive to the survival of the coronavirus; the suitable precipitation range is below 30 mm/ month. Cities with a mean temperature below 24 °C are all high-risk cities for 2019-nCoV","cities: Wuhan, Guangzhou",04/15/2020
65,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,https://doi.org/10.1101/2020.02.12.20022467,medrxiv,Ecological Regression,Temperature,N,Weather alone will not lead to a decrease in COVID 19 Cases,-,04/15/2020
66,2020-02-17,The role of absolute humidity on transmission rates of the COVID-19 outbreak,https://doi.org/10.1101/2020.02.12.20022467,medrxiv,Ecological Regression,Relative Humidity,N,Weather alone will not lead to a decrease in COVID 19 Cases,-,04/15/2020
