,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
13,2020-04-22,Modeling the COVID-19 epidemic in Okinawa,http://medrxiv.org/cgi/content/short/2020.04.20.20071977v1?rss=1,MedRxiv,Modeling Study,"Case isolation, Public events ban, School closure, Social distancing, Lockdown",Y,"In Japan, during this period, there were on the order of 1000 confirmed cases. We find that an R0 close to 2.5 provides a good fit of rate of increase in the number of hospitalized case as a function of time; In the containment scenarios discussed so far, it is crucial that the implemented measures reduce Rt below one. To show that this is the case, we simulated a scenario in which containment measures implemented on the 19th of April reduces Rt by only 40% with respect to R0, see Fig. 4. Our model predicts that such measures will significantly slow down the epidemic, delaying its peak to the beginning of July. H",Countries: Japan; Timeline: March 15th 2020 - April 15th,05/28/2020
14,2020-04-22,Impact of Social Distancing Measures on COVID-19 Healthcare Demand in Central Texas,https://www.medrxiv.org/content/10.1101/2020.04.16.20068403v1,MedRxiv,Modeling Study,school closures coupled with social distancing,Y,"ICU bed demand: 2,121 (95% CI: 2,018-2,208); ICU bed demand: 698 (95% CI: 204-1,100) with 75% social distancing and 136 (95% CI: 38-308) with 90% social distancing","Countries: Texas, United States; Timeline: August 15th, 2020",05/11/2020
15,2020-04-21,Social interventions can lower COVID-19 deaths in middle-income countries,http://medrxiv.org/cgi/content/short/2020.04.16.20063727v1?rss=1,MedRxiv,Modeling Study,"social distance, work distance, and schools/universities closure",Y,"-; We estimate that a combination of school closures, social distancing, and work distancing may reduce deaths by 97% with a trigger of action of 50 critical care admission in a day.","Countries: China, the United States, and Italy; Timeline: 10 months",05/28/2020
16,2020-04-21,Social interventions can lower COVID-19 deaths in middle-income countries,http://medrxiv.org/cgi/content/short/2020.04.16.20063727v1?rss=1,MedRxiv,Modeling Study,"social distance, work distance, and schools/universities closure",Y,-;Colombia would prevent up to 97% of COVID-19 deaths using these triggered series of interventions during the first year.,Countries: Columbia; Timeline: 10 months,05/28/2020
17,2020-04-20,Data Driven Modeling of Projected Mitigation and Suppressing Strategy Interventions for SARS-COV 2 in Ghana,https://arxiv.org/pdf/2004.09009v1.pdf,ArXiv,Modeling,"case isolation, voluntary quarantine, social distancing",Y,"A combination of Case Isolation, Voluntary Quarantine and Social Distancing of entire population and partial lock-down projected transmission is the most effective way of managing the epidemic. However, these measures should be adhered to in an extreme manner in order to achieve the results. When examining these mitigation and suppression measures, the study assumes a force adherence of 30 to 90 days or longer in order to effectively achieve the desirable results.",Countries: Ghana,05/31/2020
18,2020-04-20,Data Driven Modeling of Projected Mitigation and Suppressing Strategy Interventions for SARS-COV 2 in Ghana,https://arxiv.org/pdf/2004.09009v1.pdf,ArXiv,Modeling,"telework, school closure",Y,"The reference proportion of telework was fixed at 5\% to present relative increase in Telework and transmission dynamics were captured from 10\% to 70\% telework with school closure. The impact on transmission was made to reflect the vulnerability of the elderly and was fixed at 0.5, 1, 1.5, 2.0 respectively. The study found out, these measures impact the transmission rate by 10% reduction, therefore closure of school and increase telework will have more contact in the community but reduction of transfer of pathogens among children which is a source of pathogen transfer to adults. This result was incorporated into the other measures to reflect the situation in Ghana, since the president ordered for school and universities closures before all other mitigation measures were laid out.",Countries: Ghana,05/31/2020
19,2020-04-15,Intervention strategies against COVID-19 and their estimated impact on Swedish healthcare capacity,https://doi.org/10.1101/2020.04.11.20062133,MedRxiv,Modeling Study,"Strict quarantine, school closures, non essential business closure, case isolation",Y,"For the total accumulated number of deaths (Figure 4), without mitigation, we predict at least 100,000 deaths by 1 July in both models.; For the total accumulated number of deaths (Figure 4), without mitigation, we predict at least 100,000 deaths by 1 July in both models. The current recommendations reduce this number by less than 20%. Aggressive social distancing measures, such as adding household isolation or mandated social distancing can reduce this number by at least 50%.",Countries: Sweden; Timeline: March 21 – April 6,05/28/2020
20,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,medRxiv,Modeling Study,"schools and universities closed + elderly social distancing: interactions of [0-20] age groups decreases to 20%, interactions of 70+ age groups decreases to 25%",Y,uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ratio 11.03%; R0 2.28; schools closed and elderly social distancing: eventual removed ratio 39.08%; maximum instantaneous infectious ratio 5.60%; R0 1.68,Countries: Iran Timeline: first 90 days COVID-19 spread,04/19/2020
21,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,medRxiv,Modeling Study,"schools, offices, and companies closed : interactions of [0-20] age groups decreases to 20% and interactions of [20-70] age range decreases to 50%",Y,"uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ratio 11.03%; R0 2.28; schools, offices, and companies closed: eventual removed ratio 24.97%; maximum instantaneous infectious ratio 3.98%; R0 1.49",Countries: Iran Timeline: first 90 days COVID-19 spread,04/19/2020
22,2020-04-14,Estimating cost-benefit of quarantine length for COVID-19 mitigation,https://doi.org/10.1101/2020.04.09.20059790,MedRxiv,Modeling Study,"community contact reduction, workplace contact reduction,",Y,"With our parameters this is reproduced by a infection rate of 1 person per day per infected and a basic reproduction number R0 ∼ 5 (as we allow transmission in both directions when selecting two people, this is simulated by a rate for transmission of 0.5 per day per encounter); Even detecting as little as 2 % of COVID-19 infected per day (which with an average disease duration of 5 days corresponds to finding approximately 10 % of the infected) can potentially reduce the peak number of cases by 30 % . If 10 % efficiency is possible, corresponding to detecting about half of infectious cases, then peak height could be reduced by a factor 3, and with less than 12 quarantine days per person during the entire epidemic. This is illustrated in Fig. 3 (b) where peak height is reduced from 0.27 to 0.08 at 10 % testing efficiency.",Countries: - ; Timeline: -,05/28/2020
23,2020-04-11,Evidence Based Management Guideline for the COVID-19 Pandemic - Review article,https://www.sciencedirect.com/science/article/pii/S1743919120302843?v=s5,Int J Surg,Modeling Study,"Quarantine, workplace distancing, school place distancing",Y,"We ran simulations in a synthetic population that represents an American metropolitan area with a population of roughly 560,000 people. In an unmitigated outbreak starting with five infected people, 81% of the population became infected when R0=2.6.; When school, workplace, community-targeted NPIs and home isolation were in effect, Reffective was 0.96.",Countries: United States; Timeline: -,04/28/2020
24,2020-04-06,Sustainable social distancing through facemask use and testing during the Covid-19 pandemic,https://www.medrxiv.org/content/10.1101/2020.04.01.20049981v3,medRxiv,Modeling Study,"social protection (e.g., facemask use, handwashing) and self-isolation after testing positive (TTI)",Y,"R0 has been estimated at 2.4; 65% effective social protection R < 1; , 20% effective social protection brings the reproduction number below 1.0 so long as 75% of the symptomatic population is covered by TTI within 12 hours of symptom onset (Fig. 1A and Appendix). Even with 20% effective social protection, TTI of 1 in 4 symptomatic individuals can substantially “flatten the curve”, cutting the peak daily incidence in half",individuals : 10000000; Timeline: Unknown,04/15/2020
25,2020-04-03,New measures for COVID-19 response: a lesson from the Wenzhou experience,https://doi.org/10.1093/cid/ciaa386,Clin Infect Dis,Other,"case isolation, 14-day home quarantine, contact tracing, lockdown",Y,These data suggest that the very aggressive social distancing and quarantining measures (Wenzhou’s anti–COVID-19 measures) in the second phase were effective in controlling the spread of COVID-19.,"Countries: China: Cities: Wenzhou (Zhejiang Province), Jingzhou, Xiaogan, Huanggang (each in Hubei Province); Timeline: 21 January to 3 March 2020",05/28/2020
26,2020-04-02,"Only strict quarantine measures can curb the coronavirus disease (COVID-19) outbreak in Italy, 2020",https://doi.org/10.2807/1560-7917.es.2020.25.13.2000280,Euro Surveill,Other,"time spent in public, household size (i.e. the quarantine unit)",Y,"Looking at the extremes, for a six-person household and no community quarantine, we predicted 43 new infections over the 14 days period. In contrast, for a single-person household and complete community quarantine (no time outside of homes), no secondary cases were predicted over the 14 days period.",Countries: Italy,05/28/2020
27,2020-03-31,Strong correlations between power-law growth of COVID-19 in four continents and the inefficiency of soft quarantine strategies,https://arxiv.org/pdf/2004.00044v2.pdf,ArXiv,Modeling,"social interaction reduction, isolation of asymptomatic and mild symptomatic individuals",Y,"For Italy and France, for example, the best scenario was obtained when reducing the social interaction to θ = 0.8 (light blue curves). However, if 5% of the asymptomatic and mild symptomatic individuals are identified and isolated every day (κa = 0.05), asymptotic values of the same order of magnitude for the symptomatic cases were obtained even if θ = 1.0 (magenta-dashed curve). On the other hand, for Brazil and USA, our simulations confirm that to keep the social distance is essential to decrease the asymptotic number of infected individuals, and even better results could be obtained by increasing the tests to identify and isolate asymptomatic and mild symptomatic individuals (compare light blue and orange curves).","Countries: Brazil, China, France, Germany, Italy, Japan, Republic of Korea, Spain, USA; Timeline: until March 27, 2020",05/28/2020
28,2020-03-30,"General Model for COVID-19 Spreading with Consideration of Intercity Migration, Insufficient Testing and Active Intervention: Application to Study of Pandemic Progression in Japan and USA",https://doi.org/10.1101/2020.03.25.20043380,medRxiv,Modeling Study,intercity travel and active intervention,Y,"if the level of active intervention is kept unchanged, the percentage of population eventually infected in Osaka-fu and Tokyo-to will reach around 12% and 4.2% of the population (around 2,300,000 and 600,000 people), respectively, and in total, Japan will have about 6.55% of its population eventually infected, if the level of active intervention remains at the status quo in the coming months, with California and New York state having around 15% and 37.5% of their population (5,800,000 and 7,300,000 people) eventually infected, respectively, and the overall infected population will reach 18.2%; implementing a four-fold elevated active intervention will improve the situation substantially, with the percentage of population infected in Osaka-fu and Tokyo-to reduced to 4.2% and 2.3%, respectively, and over 75% reduction in the overall number of infected cases in Japan, by implementing four-fold elevated active intervention, the percentage of infected population in the USA can be reduced to 9.3%.","Countries: Japan, USA; Timeline: Jan 15th - March 20th",04/11/2020
29,2020-03-25,"The effect of control strategies to reduce social mixing on outcomes of the COVID-19 epidemic in Wuhan, China: a modelling study The Lancet Public Health",https://doi.org/10.1016/S2468-2667(20)30073-6,Lancet Pub Health,Modeling Study,physical distancing measures with staggered return to work,Y,N/A; Physical distancing measures were most effective if the staggered return to work was at the beginning of April; this reduced the median number of infections by more than 92% (IQR 66–97) and 24% (13–90) in mid-2020 and end-2020,countries: China; cities: Wuhan; timeline: 1 year,4/10/20
30,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://www.thelancet.com/journals/lancet/article/PIIS1473-3099(20)30162-6/fulltext,Lancet Infect Dis,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"For the baseline scenario, when R0 was 1·5, the median cumulative number of infections at day 80 was 279 000 (IQR 245 000–320 000), corresponding to 7·4% (IQR 6·5–8·5) of the resident population of Singapore. The median number of infections increased with higher infectivity: 727 000 cases (670 000–776 000) when R0 was 2·0, corresponding to 19·3% (17·8–20·6) of the Singaporean population, and 1 207 000 cases (1 164 000–1 249 000) when R0 was 2·5, corresponding to 32% (30·9–33·1) of the Singaporean population; Compared with the baseline scenario, the combined intervention was the most effective, reducing the estimated median number of infections by 99·3% (IQR 92·6–99·9) when R0 was 1·5, by 93·0% (81·5–99·7) when R0 was 2·0, and by 78·2% (59·0 −94·4) when R0 was 2·5. Assuming increasing asymptomatic fractions up to 50·0%, up to 277 000 infections were estimated to occur at day 80 with the combined intervention relative to 1800 for the baseline at R0 of 1·5.",Countries: Singapore; Timeline: Day 80,04/08/2020
31,2020-03-23,Initial Simulation of SARS-CoV2 Spread and Intervention Effects in the Continental US,https://doi.org/10.1101/2020.03.21.20040303,MedRxiv,Modeling,"contact rate (effected by isolation, quarantine, telecommuting, school closure, etc)",Y,"In particular, we ran model simulations with no intervention, a 25% reduction of contact rate, a 50% reduction of contact rate and a 95% reduction of cross-county mobility. The epidemic curve is more effectively flattened by reduction of the contact rate, as shown in Fig. 2. In addition, we provide movies of each scenario (Movies S1-S410).","Countries: United States; Timeline: February 21, 2020 to March 13, 2020",05/31/2020
32,2020-03-23,Effectiveness and cost-effectiveness of public health measures to control COVID-19: a modelling study,https://doi.org/10.1101/2020.03.20.20039644,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"N/A; The effective reproduction number (Re) was 1.84 (95%CI: 1.81, 1.87) and 3.80 (95%CI: 3.53, 4.06) respectively when the transmission constant was one in scenario I and II (Additional file 1: Table S4). Varying the transmission constant from the 0.25 to two, the isolation-and-quarantine was the most cost-effective single intervention, and program A was the most cost-effective joint intervention.",-,04/08/2020
33,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"66% infection rate (179,788 infected individuals) - no activation delay, SC = school closure , CI = case isolation, WN = workplace non-attendance , CCR = community contact reduction ; ""SC + CI + 50% WN + 30% CCR: 1.14% IR (3,094), SC + CI + 90% WN + 70% CCR: 0.42% IR (1,131) """,Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
34,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"1 week delay: SC + CI + 50% WN + 30% CCR: 1.11% IR (3,015); SC + CI + 90% WN + 70% CCR: 0.42% IR (1,151)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
35,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"2 week delay: SC + CI + 50% WN + 30% CCR: 1.15% IR (3,140); SC + CI + 90% WN + 70% CCR: 0.43% IR (1,166)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
36,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"3 week delay: SC + CI + 50% WN + 30% CCR: 1.21% IR (3,302); SC + CI + 90% WN + 70% CCR: 0.46% IR (1,255)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
37,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"4 week delay: SC + CI + 50% WN + 30% CCR: 1.34% IR (3,642); SC + CI + 90% WN + 70% CCR: 0.52% IR (1,414)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
38,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"5 week delay: SC + CI + 50% WN + 30% CCR: 1.61% IR (4,384); SC + CI + 90% WN + 70% CCR: 0.64% IR (1,730)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
39,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"6 week delay: SC + CI + 50% WN + 30% CCR: 2.11% IR (5,735); SC + CI + 90% WN + 70% CCR: 0.84% IR (2,229)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
40,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"7 week delay: SC + CI + 50% WN + 30% CCR: 2.87% IR (7,811); SC + CI + 90% WN + 70% CCR: 1.21% IR (3,309)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
41,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"8 week delay: SC + CI + 50% WN + 30% CCR: 4.33% IR (11,800); SC + CI + 90% WN + 70% CCR: 1.85% IR (5,034)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
42,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"9 week delay: SC + CI + 50% WN + 30% CCR: 6.49% IR (17,672)SC + CI + 90% WN + 70% CCR: 2.95% IR (8,041)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
43,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"10 week delay: SC + CI + 50% WN + 30% CCR: 9.51% IR (25,904); SC + CI + 90% WN + 70% CCR: 4.76% IR (12,966)",Countries: Australia; cities: Newcastle; Timeline: 10 weeks,04/08/2020
44,2020-03-23,Modelling transmission and control of the COVID-19 pandemic in Australia,https://arxiv.org/pdf/2003.10218v3.pdf,ArXiv,Modeling Study,"Social distancing, workplace contact reduction, case isolation",Y,"The scale of the impact is very high, with nearly 50% of the Australian population showing symptoms. This baseline scenario is provided only for comparison, in order to evaluate the impact of interventions, most of which are already in place in Australia. To re-iterate, we consider timely intervention scenarios applicable to the situation in Australia at the end of March 2020, in which the number of confirmed COVID-19 cases crossed 2,000 on 24 March 2020, and the growth rate of cumulative incidence C˙ stayed above 20% for nearly two weeks prior to that. We observe that the simulated baseline generates the 20% cumulative incidence increase, in a strong agreement with actual dynamics.; while the total lockdown, that is, complete social distancing at 100%, managed to reduce the incidence and prevalence to zero, after 49 days of the mitigation. However, since the total lockdown is never perfect, we focus on the practically achievable compliance levels: 70%, 80% and 90%, with their duration set to 91 days (13 weeks), shown in Fig. 2 . Importantly, during the time period that the SD level is maintained at 70%, the disease is not controlled, with the numbers of new infected cases (incidence) remaining in hundreds, and the number of active cases (prevalence) remaining in thousands. Thus, 70% compliance is inadequate for reducing the effective reproductive number below 1.0. In contrast, the two higher levels of SD, 80% and 90%, are more effective at suppressing both prevalence and incidence during the 13-week social distancing period.",Countries: Australia; Timeline: 13 weeks,05/28/20
45,2020-03-19,Impact of self-imposed prevention measures and short-term government intervention on mitigating and delaying a COVID-19 epidemic,https://www.medrxiv.org/content/10.1101/2020.03.12.20034827v3,medRxiv,Modeling Study,school closures; case isolation; workplace non-attendance; community contact reduction,Y,"Baseline model predicts 46 diagnoses per 1000 individuals at the peak of the 199 epidemic, an attack rate of about 16% and the time to the peak of about 5.2 months; 65% reduction in the peak number of diagnoses, a 29% decrease in the 208 attack rate, and a delay in peak timing of 2.7 months",Countries: Netherlands; Timeline: Unknown,04/29/2020
46,2020-03-19,A COVID-19 Epidemiological Model for Community and Policy Maker Use,https://arxiv.org/pdf/2003.08824v2.pdf,ArXiv,Modeling Study,Strict quarantine,Y,"The R0 value reaches 1 when k11 = 0.089 day–1 , only 35.6 % of the global average k11 value in late February to early March 2020, and 26.1 % of the value in Italy during that time. As a result, the model-based estimate for R0 in late February to early March is 2.82 worldwide outside China, and 3.83 in Italy and most of the Western world.; Next, starting from the base case, it is assumed that drastic social distancing measures are taken on day 30 that reduce R0 to below 1. It is assumed that the value of k11 is reduced by 70 % (i.e., from 0.25 day–1 to 0.075 day–1 i.e., R0 decreases from 2.82 to 0.85)",Countries: - ; Timeline:  late February – early March 2020,05/27/20
47,2020-03-16,Impact of self-imposed prevention measures and short-term government intervention on mitigating and delaying a COVID-19 epidemic,https://doi.org/10.1101/2020.03.12.20034827,medRxiv,Modeling Study,"Hand washing, mask wearing, self imposed social distancing",Y,"The baseline model predicts 46 diagnoses per 1000 individuals at the peak of the 234 epidemic, an attack rate of about 16% and the time to the peak of about 5.2 months (red line, Figure 3 A and B). 235 In the absence of prevention measures, a fast spread of disease awareness reduces the peak number of diagnoses 236 by 20% but has only a minor effect on the attack rate and peak timing (orange line, Figure 3 A and B). This is 237 expected, as disease-aware individuals with severe disease seek medical care sooner and therefore get diagnosed 238 faster causing fewer new infections as compared to the baseline model; Awareness dynamics coupled with the use 239 of self-imposed prevention measures has an even larger impact on the epidemic. The blue line in Figure 3 A shows 240 the epidemic curve for the scenario when disease-aware individuals use handwashing as self-imposed prevention 241 measure. Even if the efficacy of handwashing is modest (i.e., 30% as in Figure 3 A) the impact on the epidemic 242 can be significant, namely we predicted a 65% reduction in the peak number of diagnoses, a 29% decrease in the 243 attack rate, and a delay in peak timing of 2.7 months (Figure 3 A and B).",Countries: Netherlands; Timeline: -,05/27/20
48,2020-03-13,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data,https://doi.org/10.1101/2020.03.11.20034314,medRxiv,Modeling Study,implementation of the major public policy interventions,Y,"The total reported cases is approximately 4, 500 and the total unreported cases is approximately 1, 100; Total reported cases with implementation delayed by one week 820,000 and unreported 200,900",Countries: Mainland China; Timeline: Jan 20th - Jan 29th,4/10/20
