date,study,study_link,journal,severe,severe_lower_bound,severe_upper_bound,severe_p-value,severe_significant,fatality,fatality_lower_bound,fatality_upper_bound,fatality_p-value,fatality_significant,fatality_adjusted,fatality_calculated,multivariate_adjustment,study_type,sample_size,study_population,critical_only,discharged_vs._death?,key_word,Severe_number,Fatality_number,severe_outside_bounds,fatality_outside_bounds,context
2020-05-28,Obesity and COVID-19: an Italian snapshot,https://www.ncbi.nlm.nih.gov/pubmed/32463545/,Obesity,,,,,,OR: 2.06,0.19,22.44,0.55,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,92,"92 patients stayed at least one day in the COVID-19 medical ward from March 23 to April 11, 2020",N,N,"['patients', 'p', 'obesity', 'severe', 'age']",,2.06,0,0,"Date: 2020-05-28. Study: Obesity and COVID-19: an Italian snapshot. Study Link: https://www.ncbi.nlm.nih.gov/pubmed/32463545/. Journal: Obesity. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : OR: 2.06. Fatality lower bound : 0.19. Fatality upper bound: 22.44. Fatality p-value: 0.55. Fatality Significant: Not Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 92. Study Population: 92 patients stayed at least one day in the COVID-19 medical ward from March 23 to April 11, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 2.06. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'p', 'obesity', 'severe', 'age']. "
2020-05-28,"Diabetes is associated with increased risk for in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis comprising 18,506 patients",http://medrxiv.org/cgi/content/short/2020.05.26.20113811v1?rss=1,MedRxiv,,,,,,OR=1.65,1.35,1.96,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,18506,"Medline, Embase, Google Scholar, and medRxiv (the preprint server for health sciences) up to May 10, 2020",N,N,"['preprint', 'medrxiv', 'license', 'na', 'diabetes']",,1.65,0,0,"Date: 2020-05-28. Study: Diabetes is associated with increased risk for in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis comprising 18,506 patients. Study Link: http://medrxiv.org/cgi/content/short/2020.05.26.20113811v1?rss=1. Journal: MedRxiv. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : OR=1.65. Fatality lower bound : 1.35. Fatality upper bound: 1.96. Fatality p-value: nan. Fatality Significant: Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Systematic review and meta-analysis. Sample Size: 18506. Study Population: Medline, Embase, Google Scholar, and medRxiv (the preprint server for health sciences) up to May 10, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 1.65. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'medrxiv', 'license', 'na', 'diabetes']. "
2020-05-26,COVID-19: Impact of Obesity and Diabetes in Disease Severity,http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1,MedRxiv,AOR=5.49,3.13,9.65,<0.05,Significant,,,,,,,,Age; Gender; Diabetes; Hypertension,Retrospective observational study,1158,Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.,Y,N,"['patients', 'icu', 'preprint', 'obesity', 'diabetes']",5.49,,0,0,"Date: 2020-05-26. Study: COVID-19: Impact of Obesity and Diabetes in Disease Severity. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1. Journal: MedRxiv. Severe: AOR=5.49. Severe Lower Bound: 3.13. Severe Upper Bound: 9.65. Severe p-value: <0.05. Severe Significant: Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: Age; Gender; Diabetes; Hypertension. Study Type: Retrospective observational study. Sample Size: 1158. Study Population: Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.. Critical Only: Y. Discharged vs Death: N.Severe_number: 5.49. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'icu', 'preprint', 'obesity', 'diabetes']. "
2020-05-26,COVID-19: Impact of Obesity and Diabetes in Disease Severity,http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1,MedRxiv,OR=9.38,5.49,16.02,<0.05,Significant,,,,,,,,,Retrospective observational study,1158,Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.,Y,N,"['patients', 'icu', 'preprint', 'obesity', 'diabetes']",9.38,,0,0,"Date: 2020-05-26. Study: COVID-19: Impact of Obesity and Diabetes in Disease Severity. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1. Journal: MedRxiv. Severe: OR=9.38. Severe Lower Bound: 5.49. Severe Upper Bound: 16.02. Severe p-value: <0.05. Severe Significant: Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 1158. Study Population: Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.. Critical Only: Y. Discharged vs Death: N.Severe_number: 9.38. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'icu', 'preprint', 'obesity', 'diabetes']. "
2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,,,,,,AOR=1.6,1.3,2.1,,Significant,Adjusted,Extracted,Age; Sex,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",Y,N,"['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']",,1.6,0,0,"Date: 2020-05-26. Study: Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1. Journal: MedRxiv. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : AOR=1.6. Fatality lower bound : 1.3. Fatality upper bound: 2.1. Fatality p-value: nan. Fatality Significant: Significant. Fatality Adjusted: Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: Age; Sex. Study Type: Retrospective observational study. Sample Size: 9519. Study Population: Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020. Critical Only: Y. Discharged vs Death: N.Severe_number: nan. Fatality_number: 1.6. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']. "
2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,OR 1.34,1.0,1.8,0.05,Significant,OR=4.4,3.6,5.4,,Significant,Not Adjusted,Extracted,,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",Y,N,"['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']",1.34,4.4,0,0,"Date: 2020-05-26. Study: Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1. Journal: MedRxiv. Severe: OR 1.34. Severe Lower Bound: 1.0. Severe Upper Bound: 1.8. Severe p-value: 0.05. Severe Significant: Significant. Fatalyty : OR=4.4. Fatality lower bound : 3.6. Fatality upper bound: 5.4. Fatality p-value: nan. Fatality Significant: Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 9519. Study Population: Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020. Critical Only: Y. Discharged vs Death: N.Severe_number: 1.34. Fatality_number: 4.4. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']. "
2020-05-26,Use of High Flow Nasal Therapy to Treat Moderate to Severe Hypoxemic Respiratory Failure in COVID-23,http://medrxiv.org/cgi/content/short/2020.05.22.20109355v1?rss=1,MedRxiv,OR 0.92,0.39,2.16,0.84,Not Significant,,,,,,,,,Retrospective observational study,104,"consecutive patients admitted to Temple University Hospital in Philadelphia, Pennsylvania, from March 10, 2020, to April 24, 2020, for moderate to severe hypoxemia due to highly suspected or proven COVID-19 infection",Y,N,"['preprint', 'patients', 'medrxiv', 'hfnt', 'respiratory']",0.92,,0,0,"Date: 2020-05-26. Study: Use of High Flow Nasal Therapy to Treat Moderate to Severe Hypoxemic Respiratory Failure in COVID-23. Study Link: http://medrxiv.org/cgi/content/short/2020.05.22.20109355v1?rss=1. Journal: MedRxiv. Severe: OR 0.92. Severe Lower Bound: 0.39. Severe Upper Bound: 2.16. Severe p-value: 0.84. Severe Significant: Not Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 104. Study Population: consecutive patients admitted to Temple University Hospital in Philadelphia, Pennsylvania, from March 10, 2020, to April 24, 2020, for moderate to severe hypoxemia due to highly suspected or proven COVID-19 infection. Critical Only: Y. Discharged vs Death: N.Severe_number: 0.92. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'patients', 'medrxiv', 'hfnt', 'respiratory']. "
2020-05-26,ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019,https://doi.org/10.1097/ccm.0000000000004457,Crit Care Med,,,,,,OR 1.08,0.59,1.96,0.8,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,217,"ICU of Emory Healthcare acute-care hospitals in Atlanta, Georgia from March 6, 2020, to April 17, 2025",N,N,[],,1.08,0,0,"Date: 2020-05-26. Study: ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019. Study Link: https://doi.org/10.1097/ccm.0000000000004457. Journal: Crit Care Med. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : OR 1.08. Fatality lower bound : 0.59. Fatality upper bound: 1.96. Fatality p-value: 0.8. Fatality Significant: Not Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Calculated. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 217. Study Population: ICU of Emory Healthcare acute-care hospitals in Atlanta, Georgia from March 6, 2020, to April 17, 2025. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 1.08. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-05-26,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",http://medrxiv.org/cgi/content/short/2020.05.23.20110965v1?rss=1,MedRxiv,,,,,,OR=2.45,1.82,3.3,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,"85 articles, 67299 cases","PubMed, ScienceDirect, and SAGE database from January 1, 2020, to May 17, 2020",N,N,"['preprint', 'study', 'china', 'clinical', 'patients']",,2.45,0,0,"Date: 2020-05-26. Study: Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases. Study Link: http://medrxiv.org/cgi/content/short/2020.05.23.20110965v1?rss=1. Journal: MedRxiv. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : OR=2.45. Fatality lower bound : 1.82. Fatality upper bound: 3.3. Fatality p-value: <0.05. Fatality Significant: Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Systematic review and meta-analysis. Sample Size: 85 articles, 67299 cases. Study Population: PubMed, ScienceDirect, and SAGE database from January 1, 2020, to May 17, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 2.45. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'study', 'china', 'clinical', 'patients']. "
2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 2.72,0.7,10.6,,Not Significant,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",Y,N,[],2.72,,0,0,"Date: 2020-05-25. Study: Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis. Study Link: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/. Journal: Int J Public Health. Severe: OR 2.72. Severe Lower Bound: 0.7. Severe Upper Bound: 10.6. Severe p-value: nan. Severe Significant: Not Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Systematic review and meta-analysis. Sample Size: Not reported out of 7 studies enrolling 2912 patients. Study Population: MEDLINE, EMBASE and Global Health. Critical Only: Y. Discharged vs Death: N.Severe_number: 2.72. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 3.12,1.0,9.75,,Significant,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",N,N,[],3.12,,0,0,"Date: 2020-05-25. Study: Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis. Study Link: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/. Journal: Int J Public Health. Severe: OR 3.12. Severe Lower Bound: 1.0. Severe Upper Bound: 9.75. Severe p-value: nan. Severe Significant: Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Systematic review and meta-analysis. Sample Size: Not reported out of 7 studies enrolling 2912 patients. Study Population: MEDLINE, EMBASE and Global Health. Critical Only: N. Discharged vs Death: N.Severe_number: 3.12. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
