,Date,Study,Study Link,Journal,Study Type,Method,Excerpt,Measure of Evidence,Added on
10,2020-04-22,"Predicting the impact of asymptomatic transmission, non-pharmaceutical intervention and testing on the spread of COVID19",https://doi.org/10.1101/2020.04.16.20068387,medRxiv,Simulation,SEIR,"Simulations show that early release of intervention causes an expected total number of cases similar to the case of no intervention. If one considers asymptomatics to make for 1 in 4 people as suggested by the CDC, release at later time show a delay in the peak and a reduction in cumulative incidence between ≈ 10% and 20%, which translatesinto ≈ 5000 to 10000 less infected people.",-,2020-05-23
11,2020-04-22,"A Bayesian analysis of the total number of cases of the COVID 19 when only a few data is available. A case study in the state of Goias, Brazil",https://doi.org/10.1101/2020.04.19.20071852,medRxiv,Simulation,Bayesian Approach,Outbreak peak is between 51 and 68 days after the beginning; prevalence rate is around 4.53 per 10000 inhabitants,countries: Brazil,2020-05-12
12,2020-04-22,Modeling the COVID-19 epidemic in Okinawa,https://doi.org/10.1101/2020.04.20.20071977,medRxiv,Simulation,SEIR Model,"Our analysis of the spread of the COVID-19 epidemic in Okinawa reveals that its initial exponential growth rate is similar to that observed first in Wuhan, and more recently in many European countries",countries: Japan,2020-05-02
13,2020-04-20,Sequential data assimilation of the stochastic SEIR epidemic model for regional COVID-19 dynamics,https://www.medrxiv.org/content/10.1101/2020.04.13.20063768v2,medRxiv,Simulation,SEIR Model,"Using simulated data, we successfully applied an ensemble Kalman filter [11, 20] for recovery of the contact parameter from data (see Parameter recovery from simulated data). When applied to empirical data on the level of a region, the estimation of the contact parameter produces a comparable evidence profile (see Application to empirical data). In the early phase of the outbreak of COVID-19 in Germany, the reported cumulative numbers of cases strongly increase (Fig. 2a,b), however, epidemic dynamics vary on the regional level. Such spatial heterogeneity is due to different onset times of the disease in different regions, but is also enhanced by variations in the local contact parameters β. In response to containment measures, we expect β to change over time.",countries: Germany,2020-05-23
14,2020-04-17,Epidemic Landscape and Forecasting of SARS-CoV-2 in India,https://doi.org/10.1101/2020.04.14.20065151,medRxiv,Simulation,SIRD,The mean serial interval was 3.9 days. The R0 estimated from different methods ranged from 1.43 to 1.85. The mean time to recovery was 14 ± 5.3 days; we can deduce the peak of SARS-CoV-2 in India will be around mid-July to early August 2020 with around 12.5% of population likely to be infected at the peak time.,countries: India,2020-05-02
15,2020-04-14,A Bayesian Logistic Growth Model for the Spread of COVID-19 in New York,https://doi.org/10.1101/2020.04.05.20054577,medRxiv,Simulation,Bayesian logistic regression,It appears that a logistic growth model with a weighted likelihood function and a t-distribution imposed on the error structure is able to make accurate short term predictions of the spread of a disease. The Bayesian estimation gives more accurate estimates than traditional Least Squares and Maximum Likelihood approaches with more accurate interval estimates.,countries: United States,2020-05-15
16,2020-04-14,"COVID-19 in India: Predictions, Reproduction Number and Public Health Preparedness",https://doi.org/10.1101/2020.04.09.20059261,medRxiv,Simulation,Mathematical Model,"If the exponential growth in number of cases continue then the total number of active cases will be 2,49,635 until the end of April. The reproduction number for COVID-19 in India was found to be 2.56 and herd immunity as 61%. The cumulative cases predicted by the mathematical model was 1,20,203",countries: India,2020-05-02
17,2020-04-11,"Long-term predictions for COVID-19 pandemic dynamics in Ukraine, Austria and Italy",https://www.medrxiv.org/content/10.1101/2020.04.08.20058123v1,medRxiv,Simulation,SIR,"The SIR (susceptible-infected-removed) model and statistical approach to the parameter are able to make some reliable estimations for the epidemic outbreaks. The accuracy of long-term predictions is limited by uncertain information, especially at the beginning of an epidemic. The long enough observations may eliminate the influence of the initial stage data and increase the accuracy of predictions. Even at limited amount of data the SIR model can be used to estimate the final size of an epidemic and its duration.","countries: Ukraine, Austria and Italy",2020-05-23
18,2020-04-11,Outbreak dynamics of COVID-19 in China and the United States,https://www.medrxiv.org/content/10.1101/2020.04.06.20055863v2,Biomechanics and Modeling in Mechanobiology,Simulation,SEIR Model,"For the outbreak in China, in n = 30 provinces, we found a latent period of 2.56±0.72 days, a contact period of 1.47±0.32 days, and an infectious period of 17.82±2.95 days.;  in the United States, in n = 50 states, we adopted the disease-specific values from China, and found a contact period of 3.38±0.69 days.","countries: China, United States",2020-04-25
19,2020-04-10,"Predicting the number of reported and unreported cases for the COVID-19 epidemics in China, South Korea, Italy, France, Germany and United Kingdom",https://doi.org/10.1101/2020.04.09.20058974,medRxiv,Simulation,Mathematical Model,"Size of reported and unreported cases are respectively Feb.6 − 7, 67 000 − 69 000 and 45 000 − 46 000 for China, Feb.29−Mar.1, 9 000 − 9 400 and 2 250 − 2 350 for South Korea, Mar.24 − 26, 156 000 − 177000, and 234 000 − 265 000 for Italy, Mar.30−Apr.9, 104 000 − 212 000, and 177 000 − 318 000 for France, Mar.30−Apr.20, 141 000 − 912 000, and 197 000 − 1 369 000 for Germany, Apr.1−May12, 140 000 − 473 000, and 210 000 − 709 000 for United Kingdom","countries: China, South Korea, Italy, France, Germany and United Kingdom",2020-05-15
20,2020-04-10,COVID-19 UK Lockdown Forecasts and R0,https://doi.org/10.1101/2020.04.07.20052340,medRxiv,Simulation,Metropolis-Hastings,"R0 = 5.81 with 90% CI (5.08 , 6.98). In a 12 week lockdown from 24 March with transmission parameters reduced to 20% of their previous values, around 63,000 severely ill patients will need hospitalisation by mid June, 37,000 critically ill will need intensive care, whilst over 81,000 are expected to die.",countries: United Kingdom,2020-05-10
21,2020-04-06,Monitoring Italian COVID-19 spread by an adaptive SEIRD model,https://doi.org/10.1101/2020.04.03.20049734,medRxiv,Simulation,SEIRD,We have then used the model to forecast the epidemic spread for future times. We 269 have considered three different time-dependent functions to describe the infection rate 270 coefficient and shown the simulation results obtained with each of them in Lombardia 271 and Emilia-Romagna.,countries: Italy,2020-05-15
22,2020-04-03,Parametric analysis of early data on COVID-19 expansion in selected European countries,https://www.medrxiv.org/content/10.1101/2020.03.31.20049155v1,medRxiv,Simulation,Mathematical Model,"We proposed a straightforward method for evaluating the temporal dependence of spread of COVID-19 disease. The analysis of the data indicate several features, namely the high predictability of the expansion of disease in Italy and a convergence of the “pushback” parameter towards a limiting value in all the countries where restrictive measures are applied. Predictions of the evolution of the spread of the disease are made for three countries that appear to be on a predictable trajectory in the parametric space of the model, namely for Italy, France, and Czechia.","countries: Czechia, France, Italy",2020-05-23
23,2020-04-01,Forecasting COVID 19 growth in India using Susceptible-Infected-Recovered (S.I.R) model,https://arxiv.org/abs/2004.00696,arXiv,Simulation,SIR,"β = 0.3536 was observed when the curfew wasn’t imposed, and β = 0.2627 was observed under the lockdown conditions. This signifies the lockdown period caused a considerable impact in the spread of corona virus.",countries: India,2020-05-13
24,2020-04-01,Early behavior of Madrid Covid-19 disease outbreak: A mathematical model,https://doi.org/10.1101/2020.03.30.20047019,medRxiv,Simulation,SIR,"Mean estimated R0 value along the early period is of 2.22 (+/- 1.21 SD). A significant increase of 0.093 (+/- 0.037, p=0.025) in R0 value each day of outbreak is found.","countries: Spain, Italy, and France",2020-05-15
25,2020-04-01,Transmission Dynamics and Control Methodology of COVID-19: a Modeling Study,https://www.medrxiv.org/content/10.1101/2020.03.29.20047118v1.full.pdf,medRxiv,Simulation,SEIR-HC,"The latent period, infectious period and basic reproduction number of COVID-19 are estimated to be 4.19, 12.53 and 7.90, respectively.",countries: China,2020-04-07
26,2020-03-31,Investigating the Impact of Asymptomatic Carriers on COVID-19 Transmission,https://doi.org/10.1101/2020.03.18.20037994,medRxiv,Simulation,SEYAR,"The most notable result is that with the most recent data at the time of publication, COVID-19 has a large basic reproduction number R0 which we estimated to fall between 5.5 and 25.4, with a point estimate of 15.4, assuming mean parameters.","countries: Australia, Austria, Belgium, Canada, France, Germany, Italy, Japan, Netherlands, Norway, Spain, Switzerland, United Kingdom",2020-05-15
27,2020-03-31,Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164555/,Science,Simulation,Bayesian Approach,We used published parameters for the incubation time distribution (median 5.2 days) and the epidemic doubling time (5.0 days) from the early epidemic data in China. The model estimated R0 = 2.0 in the early stages of the epidemic in China.,countries: China,2020-05-02
28,2020-03-27,COVID-19 outbreak in Algeria: A mathematical Model to predict cumulative cases,https://www.medrxiv.org/content/10.1101/2020.03.20.20039891v2.full.pdf,medRxiv,Simulation,Alg-COVID-19,"The average basic reproduction number calculated with the actual cases number at the first 26 days R0=2.55 (95% CI 2.15–2.93), the serial interval (SI=4.4) and the prediction time (t) we are looking for. The herd immunity (HI) estimated using the the (equation 4) is HI=61%.",countries: Algeria,2020-04-25
29,2020-03-26,Estimating unobserved SARS-CoV-2 infections in the United States,https://doi.org/10.1101/2020.03.15.20036582,medRxiv,Simulation,Stochastic simulation model,"Local infections cumulatively in the US by March 12= 22,876 (95% PPI: 7,451 - 53,044). By March 12, probability of detecting local symptomatic infections=0.77  (95% PPI: 0.29 - 1.00); probability of detecting imported symptomatic infections= 0.39 (95% PPI: 0.15 - 0.90).",countries: United States,2020-05-14
30,2020-03-25,Estimation of Basic Reproduction Number of the COVID-19 Epidemic in Denmark using a Two-Step Model,https://arxiv.org/pdf/2003.09775v2.pdf,arXiv,Simulation,Kermack and McKendrick Model,"The basic reproductive number in the time period of February 27th to March 18th was found to be 2.65, however, this number was reduced to 1.99 after March 18th",countries: Denmark,2020-05-28
31,2020-03-16,Strongly heterogeneous transmission of COVID-19 in mainland China: local and regional variation.,https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1.full.pdf,medRxiv,Simulation,Markov Chain Monte Carlo,"We estimated the average serial interval was 4·8 days. For early transmission in Wuhan, any infectious case produced as many as four new cases, transmission outside Wuhan was less intense, with reproduction numbers below two. During the rapid growth phase of the outbreak the region of Wuhan city acted as a hot spot, generating new cases upon contact, while locally, in other provinces, transmission was low.",countries: China,2020-04-25
32,2020-03-14,Modeling the dynamics of novel coronavirus (2019-nCov) with fractional derivative,https://www.sciencedirect.com/science/article/pii/S1110016820300971?via%3Dihub,Alexandria Engineering Journal,Simulation,Integer Order with Atangana-Baleanu,"We consider the available infection cases for January 21, 2020, till January 28, 2020 and parame-terized the model. We compute the basic reproduction number for the data is R02.4829",countries: China,2020-04-07
33,2020-03-14,Inferring the number of COVID-19 cases from recently reported deaths,https://doi.org/10.1101/2020.03.10.20033761,medRxiv,Simulation,Poisson Regression,"In order to compare predictions to cases actually reported in these countries, projections were run until 4th March. Overall, predictions from the model using the baseline scenario (R = 2, CRF = 2%) were in line with reported epidemic sizes. Actual numbers of reported cases fell within the 50% quantile intervals of simulations in all three countries Italy (median: 1 294 ; QI50%: [390 ; 3 034]; reported: 2 037), France (median: 592 ; QI50%: [177 ; 1 705]; reported: 190) and Spain, (median: 202 ; QI50%: [95 ; 823]; reported 202).","countries: Spain, Italy, and France",2020-05-15
34,2020-03-12,Revealing the influence of national public health policies for the outbreak of the SARS-CoV-2 epidemic in Wuhan China through status dynamic modeling,https://www.medrxiv.org/content/10.1101/2020.03.10.20032995v1.full.pdf,medRxiv,Simulation,SEIO (MH),"According to our study, the first patient is most likely appeared on Nov. 29th, 2019. There had already been 4,153 infected people and 6,536 exposed ones with the basic reproduction number  of 2.65 before lockdown, whereas  dropped to 1.98 for the first 30 days after the lockdown. wn. The peak point is Feb. 17th, 2020 with 24,115 infected people and the end point is Jun. 17th, 2020. In total, 77,453 people will be infected. If lockdown imposed 7 days earlier, the total number of infected people would be 21,508, while delaying the lockdown by 1-6 days would expand the infection scale 1.23 to 4.94 times.",countries: China,2020-04-15
35,2020-03-06,Risk estimation and prediction by modeling the transmission of the novel coronavirus (COVID-19) in mainland China excluding Hubei province,https://www.medrxiv.org/content/10.1101/2020.03.01.20029629v2.full.pdf,medRxiv,Simulation,Markov Chain Monte Carlo,"The estimation outcomes indicate that the control reproduction number is 3.36 (95% CI 3.20-3.64) and Re(t) has dropped below 1 since January 31st, 2020, which implies that the containment strategies implemented by the Chinese government in mainland China excluding Hubei province are indeed effective and magnificently suppressed COVID-19 transmission.",countries: China,2020-04-07
36,2020-03-03,Relations of parameters for describing the epidemic of COVID―19 by the Kermack―McKendrick model,https://www.medrxiv.org/content/10.1101/2020.02.26.20027797v1.full.pdf,medRxiv,Simulation,Kermack-McKendrick,We found that the epidemic of influenza in Japan in 2019 was re-produced by the parameters;τtrans = 0.52 week and τinf = 1 week and that τgrow observed in the early stage can be different from τgrow for re-producing the overall epidemic.,countries: China,2020-04-07
37,2020-03-03,Estimating the basic reproduction number of COVID-19 in Wuhan China,http://rs.yiigle.com/yufabiao/1183327.htm,Chinese Journal of Epidemiology,Simulation,Exponential Growth,"Four methods, the exponential growth (EG), maximum likelihood estimation (ML), sequential Bayesian method (SB) and time dependent reproduction numbers (TD), were applied to estimate the R0. Among the four methods, the EG method fitted the data best. The estimated R0 was 3.49 (95% CI: 3.42-3.58) by using EG method. The R0 was estimated to be 2.95 (95%CI: 2.86-3.03) after taking control measures.",countries: China,2020-04-07
38,2020-02-29,Infection Dynamics of Coronavirus Disease 2019 (Covid-19) Modeled with the Integration of the Eyring Rate Process Theory and Free Volume Concept,https://www.medrxiv.org/content/10.1101/2020.02.26.20028571v2.full.pdf,medRxiv,Simulation,SIR and SEIR,"Based on the data provided by CCDC, we predict that the infected may peak at 158 days from Jan. 21, 2020 and may take a long time, more than a year, to drop to zero, though MSIR and MSEIR models give a slightly different estimation. If the removed data, either the recovered or the recovered plus the death, are reliable, the actual infected people is between 579488 and 941668 by Feb. 17, 2020. The basic reproduction number of coronavirus (Covid-19) is computed to be about 1.5 based on MSIR model and 3.5 based on MSEIR model.",countries: China,2020-04-07
39,2020-02-28,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7047374/,Infectious Disease of Poverty,Simulation,Reservoir-People (derived from Bats-Hosts-Reservoir-People model),We developed a Bats-Hosts-Reservoir-People transmission network model for simulating the potential transmission from the infection source (probably be bats) to the human infection. The value of R0 was estimated of 2.30 from reservoir to person and 3.58 from person to person which means that the expected number of secondary infections that result from introducing a single infected individual into an otherwise susceptible population was 3.58.,countries: China,2020-04-07
40,2020-02-20,The reproductive number R0 of COVID-19 based on estimate of a statistical time delay dynamical system,https://doi.org/10.1101/2020.02.17.20023747,medRxiv,Simulation,Time delay dynamic model,"Based our Fudan-CCDC model, the growth rate r of COVID-19 is almost in [0.30, 0.32] which is larger than the growth rate 0.1 estimated by CCDC [9], and the reproductive number R0 of COVID-19 is estimated by 3.25 ≤ R0 ≤ 3.4 if we simply use R0 = 1 +r ∗ Tc with Tc = 7.5, which is bigger than that of SARS.",countries: China,2020-05-15
41,2020-02-20,Estimation of the epidemic properties of the 2019 novel coronavirus: A mathematical modeling study,https://www.medrxiv.org/content/10.1101/2020.02.18.20024315v1,medRxiv,Simulation,Poisson Loss Function,"Before the closure of Wuhan city the basic reproduction number of COVID-19 was 4.38 (95% CI: 3.63-5.13), dropping to 3.41 (95% CI: 3.16-3.65) after the closure of Wuhan city. Over the entire epidemic period COVID-19 had a basic reproduction number of 3.39 (95% CI: 3.09-3.70), indicating it has a very high transmissibility.",countries: China,2020-04-15
42,2020-02-18,Early dynamics of transmission and control of COVID-19: a mathematical modelling study,https://doi.org/10.1101/2020.01.31.20019901,medRxiv,Simulation,Geometric random walk process,"We estimated that the median daily reproduction number, Rt , declined from 2.35 (95% CI: 1.15-4.77) one week before travel restrictions were introduced on 23rd January to 1.05 (95% CI: 0.413-2.39) one week after. Based on our estimates of Rt,we calculated that in locations with similar transmission potential as Wuhan in early January, once there are at least four independently introduced cases, there is a more than 50% chance the infection will establish within that population.",countries: China,2020-05-15
43,2020-02-11,Assessing the Tendency of 2019-nCoV (COVID-19) Outbreak in China,https://www.medrxiv.org/content/10.1101/2020.02.09.20021444v4.full.pdf,medRxiv,Simulation,flow SEHIR,"The results show that the basic reproductive numbers R0 of COVID-19 is 3.56 (95% CI: 2.31 – 4.81). The number of daily confirmed new cases reaches the inflection point on Feb. 6 – 10 outside Hubei. For the maximum of infected cases number, the predicted peak value in China except Hubei was estimated to be 13806 (95% CI: 11926 - 15845). The peak arrival time is on March 3 - 9.",countries: China,2020-04-07
44,2020-02-05,Reporting Epidemic Growth and Reproduction Numbers for the 2019 Novel Coronavirus (2019-nCoV) Epidemic,https://annals.org/aim/fullarticle/2760912/reporting-epidemic-growth-reproduction-numbers-2019-novel-coronavirus-2019-ncov,Annals of Internal Medicine,Simulation,Disease-Transmission,Our model suggests that (assuming Re remained close to 2.3 after the quarantine on 24 January 2020) reported cases increased to 59% by 31 January 2020 (9930 reported cases vs. 16 860 modeled cases),countries: China,2020-04-15
45,2020-01-28,Novel coronavirus 2019-nCoV: early estimation of epidemiological parameters and epidemic predictions,https://doi.org/10.1101/2020.01.23.20018549,medRxiv,Simulation,SEIR,"Using a transmission model, we estimate a basic reproductive number of 3.11 (95%CI, 2.39–4.13); 58–76% of transmissions must be prevented to stop increasing; Wuhan case ascertainment of 5.0% (3.6–7.4); 21022 (11090–33490) total infections in Wuhan 1 to 22 January.",countries: China,2020-05-15
