,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
10,2020-04-21,Estimating the impact of non-pharmaceutical interventions on documented infections with COVID-19: A cross-country analysis,https://www.medrxiv.org/content/10.1101/2020.04.16.20062141v1.full.pdf,MedRxiv,Modeling Study,closure of national borders for individuals,Y,border closures (31 %; 95% CI 19-42 %) reduction in the number of new cases,"Countries: United States, Canada, Australia, the EU-15 countries, Norway, and Switzerland; Timeline:  April 15, 2020",05/11/2020
11,2020-04-21,"The effect of inter-city travel restrictions on geographical spread of COVID-19: Evidence from Wuhan, China",http://medrxiv.org/cgi/content/short/2020.04.16.20067504v1?rss=1,MedRxiv,Modeling Study,"Stay in place orders, inter city travel restriction, inner city travel restriction",Y,"We assume that in the initial phases of the epidemic (prior to the cordon sanitaire), the effective daily reproduction number (Re) was 2.2; we compare Re=2.2 in the absence of interventions (no change, unmitigated local outbreak), to 1.1 (50% reduction, slowing epidemic, Re>1), or 0.55 (75% reduction, suppressing epidemic, Re<1).",Countries: China; Timeline: November 2019 to March 2020,05/28/2020
12,2020-04-14,A Stratified Model to Quantify the Effects of Containment Policies on the Spread of COVID-19,https://doi.org/10.1101/2020.04.10.20060681,medRxiv,Modeling Study,lock-down: interactions of all individuals reduced to 10%,Y,uncontained: eventual removed ratio 65.29%; maximum instantaneous infectious ratio 11.03%; R0 2.28; Lock-down: eventual removed ratio 7.90%; maximum instantaneous infectious ratio 3.72%; R0 0.23,Countries: Iran Timeline: first 90 days COVID-19 spread,04/19/2020
13,2020-04-08,Derivation of the effective reproduction number R for COVID-19 in relation to mobility restrictions and confinement,https://doi.org/10.1101/2020.04.06.20054320,MedRxiv,Modeling,total lockdown,Y,"The expression for R allowed us to determine the precise reduction of mobility kappa_0 needed to bend the curve of epidemic incidence, which turned out to be kappa_0 ≈ 0.7. This value, for the case of Spain, translates to a total lockdown with the exception of the mobility associated to essential services, a policy that was finally enforced on March 28.",Countries: Spain,05/31/2020
14,2020-04-07,Assessment of 21 Days Lockdown Effect in Some States and Overall India: A Predictive Mathematical Study on COVID-19 Outbreak,https://arxiv.org/pdf/2004.03487v1.pdf,ArXiv,Modeling,21-day lock-down,Y,"Our result suggest that 21 days lock-down will have no impact in Maharashtra and overall India. Furthermore, the presence of a higher percentage of COVID-19 superspreaders will further deteriorate the situation in Maharashtra. However, for Tamil Nadu and Delhi there is some ray of hope as our prediction shows that lock-down will reduce a significant number of cases and deaths. in these two locations. Further extension of lock-down may place Delhi and Tamil Nadu in a comfort zone.","Countries: India; States: Maharashtra, Delhi, Telangana; Timeline:",05/28/2020
15,2020-03-23,Initial Simulation of SARS-CoV2 Spread and Intervention Effects in the Continental US,https://doi.org/10.1101/2020.03.21.20040303,MedRxiv,Modeling,reductions of commuting and travel between countries,Y,"Disruption of mixing within locations, effected through a reduction of b, more substantially slows the spread and increase of confirmed cases than reductions of commuting and travel between locations. High reductions of commuting and travel between county locations (i.e. ³95%) are needed to reduce the spread and increase of infections.","Countries: United States; Timeline: February 21, 2020 to March 13, 2020",05/31/2020
16,2020-03-20,"Extended SIR prediction of the epidemics trend of COVID-19 in Italy and compared with Hunan, China",https://doi.org/10.1101/2020.03.18.20038570,medRxiv,Modeling Study,country blockade,Y,There would 27 be totally 30 086 infected cases (95%CI:7920-81 869) under the current country blockade and the 28 endpoint would be Apr 25 (95%CI: Mar 30 to Aug 07) in Italy; 5 day delay in country blockade would expand total infected cases 1.50 times,"Countries: Italy; Timeline: Jan 22, 2020 to Mar 16, 2020",05/03/2020
17,2020-03-12,"Revealing the influence of national public health policies for the outbreak of the SARS-CoV-2 epidemic in Wuhan, China through status dynamic modeling",https://doi.org/10.1101/2020.03.10.20032995,medRxiv,Modeling Study,lockdown,Y,"There had already been 4,153 infected people and 6,536 exposed ones with the basic reproduction number of 2.65 before lockdown; , whereas  dropped to 1.98 for the first 30 days after the lockdown. The peak point is Feb. 17th, 2020 with 24,115 infected people and the end point is Jun. 17th, 2020. In t","Countries: China cities: Wuhan; Timeline: Jan. 27th, 2020 - Feb. 2nd, 2020",4/11/20
18,2020-03-06,Effect of non-pharmaceutical interventions for containing the COVID-19 outbreak in China,https://doi.org/10.1101/2020.03.03.20029843,medRxiv,Modeling Study,inter-city travel restriction,Y,"114,325 COVID-19 cases ( [IQR] 76,776 - 164,576); Without inner-city contact reduction, the number of COVID-19 cases would likely have shown a 1.0-fold increase (IQR: 0.6 - 1.4)","Countries: China; Timeline: Feb 29th, 2020",4/8/20
19,2020-02-24,"Lessons learnt from 288 COVID-19 international cases: importations over time, effect of interventions, underdetection of imported cases",https://www.medrxiv.org/content/10.1101/2020.02.24.20027326v1,medRxiv,Modeling Study,travel ban,Y,"The model predicted a rapid exponential growth of importations from Hubei, with a growth rate = 0.26 [95% CI 0.21, 0.31], corresponding to a doubling time of 2.8 days; After the implementation of travel restrictions, a negative growth rate was estimated, signaling a decline in imported cases. The decline was sharp for Hubei (growth rate = -0.64 [-0.85, -0.48]) and more gradual for the rest of China (growth rate = -0.19 [-0.54, 0.00])","Countries: China; Timeline: Jan 3 to Feb 13, 2020",04/30/2020
20,2020-02-20,Estimation of the epidemic properties of the 2019 novel coronavirus: A mathematical modeling study,https://doi.org/10.1101/2020.02.18.20024315,medRxiv,Modeling Study,city closure,Y,Before the closure of Wuhan city the basic reproduction number of COVID-19 was 4.38 (95% CI: 3.63 – 5.13); dropping to 3.41 (95% CI: 3.16 – 3.65) after the closure of Wuhan city,Countries: China; cities: Wuhan; Timeline: 10th January to 23rd January (preclosure) and 23rd January to 8th February (after closure),05/03/2020
21,2020-02-17,Estimating the Efficacy of Traffic Blockage and Quarantine for the Epidemic Caused by 2019-nCoV (COVID-19),https://www.medrxiv.org/content/10.1101/2020.02.14.20022913v3,medRxiv,Modeling Study,traffic blockage,Y,"current Hubei traffic blockage factor (HTbF)  0.66, current outside Hubei traffic blockage factor (oHTbF) 0.26; ""HTbF increased by 0.01 peak infections decrease by 2.14%, oHTbF increased by 0.01 peak infections decrease by 4.01%, total traffic blockage - 21.06% - 22.39% decrease in peak value """,Countries: China; Timeline: Unknown,04/08/2020
22,2020-02-17,Assessing the Impact of Reduced Travel on Exportation Dynamics of Novel Coronavirus Infection (COVID-19),https://doi.org/10.3390/jcm9020601,Journal of Clinical Medicine,Modeling Study,drastic reduction in travel volume within mainland China,Y,"the expected number of cases between Day 58 (28 January 2020) and Day 67 was 321 cases (95% confidence interval [CI]: 181, 544); Our estimate is consistent with an assessment by Chinazzi et al. [20], which indicated that the exported cases would be reduced by 80% by the end of February. In addition to appropriately quantifying the impact on prevention of exported cases, we have estimated the median time delay to a major epidemic assuming plausible values of R0 at 1.5, 2.2, and 3.7. With reduced probability of a major epidemic, the time delay to a major epidemic was estimated at a maximum of 2 days in Japan and a minimum of less than 1 day","Cities: Wuhan; Timeline: Jan 28th-Feb 7th, 2020",04/08/2020
23,2020-02-07,"The Novel Coronavirus, 2019-nCoV, is Highly Contagious and More Infectious Than Initially Estimated",https://doi.org/10.1101/2020.02.07.20021154,medRxiv,Modeling Study,closure of Wuhan (and other cities in Hubei),Y,Ro between 4.7 to 6.6; Ro to between 2.3 to 3.0,Countries: China; cities: Wuhan; Timeline: Jan 15th- Jan 30th,04/29/2020
