,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Asymptomatic,Characteristic Related to Question 2,Excerpt,Added On
24,2020-04-15,"Clinical characteristics of 3,062 COVID‐19 patients: a meta‐analysis",https://www.ncbi.nlm.nih.gov/pubmed/32293716/,Journal of Medical Virology,Systematic Review and Meta-Analysis,3062,-,-,11.90%,,Patients with asymptomatic was 11.9%,6/11/2020
25,2020-04-09,COVID-19 infection among asymptomatic and symptomatic pregnant women: Two weeks of confirmed presentations to an affiliated pair of New York City hospitals,https://doi.org/10.1016/j.ajogmf.2020.100118,American Journal of Obstetrics & Gynecology MFM,Retrospective observational study,43,mean: 29.7; SD: 6,Nasopharyngeal swab,32.60%,-,"In our overall cohort of COVID-19 test-positive pregnant women, 14 (32.6%) of 43 patients initially presented without COVID-19 associated symptoms.",4/25/2020
26,2020-04-06,Clinical Course and Outcomes of Patients with Severe Acute Respiratory Syndrome Coronavirus 2 Infection: a Preliminary Report of the First 28 Patients from the Korean Cohort Study on COVID-19,https://doi.org/10.3346/jkms.2020.35.e142,Journal of Korean Medicine,Retrospective observational study,28,median: 40; range: 20-73,Nasopharyngeal swab; Oropharyngeal swab; sputum,7%,-,Two patients had no symptoms,5/27/2020
27,2020-04-03,"Asymptomatic and Presymptomatic SARS-CoV-2 Infections in Residents of a Long-Term Care Skilled Nursing Facility — King County, Washington, March 2020",http://dx.doi.org/10.15585/mmwr.mm6913e1,Morbidity and Mortality Weekly,Retrospective observational study,23,-,Nasopharyngeal,13.00%,-,"One week after testing, the 13 residents who had positive test results and were asymptomatic on the date of testing were reassessed; 10 had developed symptoms and were recategorized as presymptomatic at the time of testing (Table 2). The most common signs and symptoms that developed were fever (eight residents), malaise (six), and cough (five). The mean interval from testing to symptom onset in the presymptomatic residents was 3 days. Three residents with positive test results remained asymptomatic.",5/26/2020
28,2020-04-03,Clinical characteristics of non-critically ill patients with novel coronavirus infection (COVID-19) in a Fangcang Hospital,https://www.sciencedirect.com/science/article/pii/S1198743X20301774,Clinical Microbiology and Infection,Retrospective observational,1012,median: 50; IQR: 39-58; range: 16-89,-,3.00%,-,"A total of 1012 non-critically ill individuals with positive SARS-CoV-2 RT-PCR tests were included in the study. Thirty (of 1012, 3.0%) individuals were asymptomatic on admission. During hospitalization, 16 of 30 (53.3%) asymptomatic individuals developed different symptoms. Fourteen of 1012 patients (1.4%) remained asymptomatic from exposure to the end of follow up, with a median duration of 24 days (interquartile range 22e27)",6/13/2020
29,2020-03-30,A considerable proportion of individuals with asymptomatic SARS-CoV-2 infection in Tibetan population,https://www.medrxiv.org/content/10.1101/2020.03.27.20043836v1,MedRxiv,Retrospective observational study,83,mean: 29.67; median: 31; range: 6-51,-,22%,-,"18 (18/83, 21.7%) individuals were identified as asymptomatic carriers, with a predominant distribution of males (61.0%)",4/9/2020
30,2020-03-24,Modes of contact and risk of transmission in COVID-19 among close contacts,https://doi.org/10.1101/2020.03.24.20042606,MedRxiv,Retrospective observational study,129,median: 38,Throat,6.20%,-,"During quarantine period, 129 cases (2.6%) 50 were diagnosed, with 8 asymptomatic (6.2%), 49 mild (38.0%), and 5 (3.9%) severe to critical cases.",4/9/2020
31,2020-03-23,"Clinical characteristics and reasons of different duration from onset to release from quarantine for patients with COVID-19 Outside Hubei province, China",https://doi.org/10.1101/2020.03.21.20038778,MedRxiv,Retrospective observational study,37,mean: 44.3; SD: 1.67,Nasal swab; Pharyngeal swab,18.90%,-,"Among these patients, the proportion of asymptomatic patients accounted for 18.9% of the total patients.",6/14/2020
32,2020-03-23,"High incidence of asymptomatic SARS-CoV-2 infection, Chongqing, China",https://www.medrxiv.org/content/10.1101/2020.03.16.20037259v1,MedRxiv,Retrospective observational study,167,median: 46,Nasopharyngeal swab,12.00%,-,"167 Case data we used were from the Chongqing Public Health Medical Center, and the number of asymptomatic infections is 20.",4/8/2020
33,2020-03-18,High transmissibility of COVID-19 near symptom onset,https://www.medrxiv.org/content/10.1101/2020.03.18.20034561v1.full.pdf,MedRxiv,Case series,32,-,-,13%,-,"By February 26, there were 32 laboratory-confirmed COVID-19 patients, including five household/family clusters and four asymptomatic patients.",4/9/2020
34,2020-03-18,The clinical characteristics of COVID-19: a retrospective analysis of 104 patients from the outbreak on board the Diamond Princess cruise ship in Japan,https://doi.org/10.1101/2020.03.18.20038125,medRxiv,Retrospective observational study,104,median: 68; range: 25-93,Pharyngeal; Sputum,41.40%,-,"Briefly, 43, 41, and 20 patients on admission and 33, 43, and 28 patients at the end of observation had asymptomatic, mild, and severe COVID-19, respectively",4/9/2020
35,2020-03-17,Chest CT Findings in Cases from the Cruise Ship “Diamond Princess” with Coronavirus Disease 2019 (COVID-19),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7233452/,Radiol Cardiothorac Imaging,Retrospective observational study,104,mean: 62 years; SD: 16; range 25-93,-,73%,-,"Of 104 cases, 76 (73%) were asymptomatic, 41 (54%) of which had lung opacities on CT.",6/14/2020
36,2020-03-15,Epidemiological characteristics of 2019 novel coronavirus family clustering in Zhejiang Province,https://doi.org/10.3760/cma.j.cn112150-20200227-00199,Chinese Journal of Preventative Medicine,Case Series,391,-,-,14.00%,-,"Among the 391 cases, 148 cases were introduced into the family, 189 cases were continued, and 54 cases were asymptomatic.",4/9/2020
37,2020-03-14,Epidemiological parameters of coronavirus disease 2019: a pooled analysis of publicly reported individual data of 1155 cases from seven countries,https://doi.org/10.1101/2020.03.21.20040329,MedRxiv,Case Series,329,-,-,14.89%,-,"Among the cases with relevant information (n=329, 28.48%), 49 (14.89%) were asymptomatic, 256 (77.81%) mild to moderate, and 24 (7.29%) severe",4/9/2020
38,2020-03-12,"Estimating the Asymptomatic Proportion of 2019 Novel Coronavirus onboard the Princess Cruises Ship, 2020",https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.10.2000180,Eurosurveillance,Ecological Regression,634,range: 0-99,-,17.90%,-,"We estimated the asymptomatic proportion at 17.9% (95% CrI: 15.5%–20.2%), with most of the infections occurring before the start of the 2-week quarantine.",4/9/2020
39,2020-03-10,Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,https://doi.org/10.1101/2020.03.10.20032136,MedRxiv,Retrospective observational study,46,range: 10-35,Throat; Lower respiratory tract,8.70%,-,"Only one (2.2%) patient was severe case, and 4 (8.7%) were asymptomatic at admission",4/9/2020
40,2020-03-06,"Transmission and clinical characteristics of coronavirus disease 2019 in 104 outside-Wuhan patients, China",https://doi.org/10.1101/2020.03.04.20026005,MedRxiv,Case series,104,mean: 43; range: 8-84,Nasopharyngeal,5%,-,"Most patients had typical symptoms, 5 asymptomatic infections were found and 2 of them infected their relatives",4/9/2020
41,2020-02-17,"The Epidemiological Characteristics of an Outbreak of 2019 Novel Coronavirus Diseases (COVID-19) — China, 2020",https://cdn.onb.it/2020/03/COVID-19.pdf.pdf,Chinese CDC,Case Series,44672,range: 0-99,Throat swab,1.20%,-,"A total of 72,314 patient records—44,672 (61.8%) confirmed cases, 16,186 (22.4%) suspected cases, 10,567 (14.6%) clinically diagnosed cases (Hubei Province only), and 889 asymptomatic cases (1.2%)—contributed data for the analysis. Among confirmed cases, most were aged 30–79 years",4/9/2020
42,2020-02-15,Characteristics of COVID-19 infection in Beijing,https://www.journalofinfection.com/article/S0163-4453(20)30101-8/fulltext,Journal of Infection,Retrospective observational study,262,median: 47.5; range: 6 months–94,Respiratory,5%,-,"On the basis of this study, firstly we provided the proportion of severe versus common cases of the COVID-19 infection, which was approximately 1:4, the ratio of severe to mild, non-pneumonia and asymptomatic cases were 18%, 73%, 4% and 5% respectively",4/9/2020
43,2020-02-09,Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Korea,https://doi.org/10.4178/epih.e2020007,Epidemiology and Health,Retrospective observational study,28,"median: 42, range: 21-73",-,10.70%,-,"Of the 28 infected patients diagnosed in Korea, 3 were asymptomatic.",5/26/2020
44,2020-02-03,Estimation of the asymptomatic ratio of novel coronavirus infections (COVID-19),https://www.ijidonline.com/article/S1201-9712(20)30139-9/pdf,International Journal of Infectious Disease,Retrospective observational study,13,-,-,30.80%,-,"Reverse transcription PCR (RTPCR) testing was performed for all passengers, and m = 4 asymptomatic and n = 9 symptomatic passengers tested positive for COVID-19.",4/9/2020
