,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Days,Range (Days),Excerpt,Added on
22,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective cohort,67,median: 49; range: 10-77,Fecal matter,median: 18,range: 7-26,-,4/6/2020
23,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Retrospective cohort,"24, non-ICU patients",median: 41; range: 34-54,Nasopharyngeal,mean: 15.67,-,"viral shedding time of SARS-CoV-2 in ICU patients was longer than that of non-ICU patients, especially nasal swab samples.",5/24/2020
24,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Retrospective cohort,"24, non-ICU patients",median: 41; range: 34-54,Blood,mean: 10.17,-,-,5/24/2020
25,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Retrospective cohort,"24, non-ICU patients",median: 41; range: 34-54,Sputum,mean: 13.33,-,-,5/24/2020
26,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Retrospective cohort,"8, ICU patients",median: 41; range: 34-54,Nasopharyngeal,mean: 22.5,-,-,5/24/2020
27,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Retrospective cohort,"8, ICU patients",median: 41; range: 34-54,Blood,mean: 14.63,-,-,5/24/2020
28,2020-03-21,Comparisons of viral shedding time of SARS-CoV-2 of different samples in ICU and non-ICU patients,https://doi.org/10.1016/j.jinf.2020.03.013,Journal of Infection,Retrospective cohort,"8, ICU patients",median: 41; range: 34-54,Sputum,mean: 16.5,-,-,5/24/2020
29,2020-03-19,Prolonged presence of SARS-CoV-2 viral RNA in faecal samples,https://doi.org/10.1016/S2468-1253(20)30083-2,The Lancet Gastroenterology and Hepatology,Prospective cohort,74,-,Respiratory tract,mean: 16.7,-,-,5/24/2020
30,2020-03-19,Prolonged presence of SARS-CoV-2 viral RNA in faecal samples,https://doi.org/10.1016/S2468-1253(20)30083-2,The Lancet Gastroenterology and Hepatology,Prospective cohort,74,-,Fecal matter,mean: 27.9,-,-,5/24/2020
31,2020-03-14,Patients with respiratory symptoms are at greater risk of COVID-19 transmission,https://doi.org/10.1016/j.rmed.2020.105935,Respiratory Medicine,Retrospective cohort,82,median: 56 (pts w/respiratory symptoms),Nasopharyngeal,median: 17,IQR: 12-23,-,5/3/2020
32,2020-03-14,Patients with respiratory symptoms are at greater risk of COVID-19 transmission,https://doi.org/10.1016/j.rmed.2020.105935,Respiratory Medicine,Retrospective cohort,82,median: 51 (pts w/o respiratory symptoms),Nasopharyngeal,median: 13,IQR: 6-20,-,5/3/2020
33,2020-03-11,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",https://doi.org/10.1016/S0140-6736(20)30566-3,The Lancet,Retrospective cohort,137; survivors,median: 52; IQR 45-58,Throat,median: 20,IQR: 17-24; max 37,-,4/6/2020
34,2020-02-19,COVID-19 in a Designated Infectious Diseases Hospital Outside Hubei Province China,https://doi.org/10.1101/2020.02.17.20024018,medRxiv,Retrospective cohort,298,median: 47; IQR 33-61,Nasopharyngeal,median: 14,IQR: 10-19,-,4/15/2020
